"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/30/2021","AQS","380150003","1","13.5","ppb","12","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/01/2021","AQS","380150003","1","15","ppb","14","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/02/2021","AQS","380150003","1","6","ppb","6","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/03/2021","AQS","380150003","1","3.4","ppb","3","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/04/2021","AQS","380150003","1","14.3","ppb","13","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/05/2021","AQS","380150003","1","5.8","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/06/2021","AQS","380150003","1","12.1","ppb","11","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/07/2021","AQS","380150003","1","5","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/08/2021","AQS","380150003","1","5.2","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/09/2021","AQS","380150003","1","4.3","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/10/2021","AQS","380150003","1","8","ppb","8","BISMARCK RESIDENTIAL","20","83.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/11/2021","AQS","380150003","1","13","ppb","12","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/12/2021","AQS","380150003","1","10.2","ppb","9","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/13/2021","AQS","380150003","1","8.9","ppb","8","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/14/2021","AQS","380150003","1","15.4","ppb","14","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/15/2021","AQS","380150003","1","12.4","ppb","11","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/16/2021","AQS","380150003","1","6.7","ppb","6","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/17/2021","AQS","380150003","1","6.5","ppb","6","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/18/2021","AQS","380150003","1","4.8","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/19/2021","AQS","380150003","1","5.8","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/20/2021","AQS","380150003","1","4.2","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/21/2021","AQS","380150003","1","4.7","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
